발화/행위 내용,관계쌍,관계온도변화,긴장도,노션URL,반응·행동,반응자,발화동기/맥락,발화자,비고,서사기능,섹스분류,순서번호,시간대,씬연결,장소,카테고리,파트코드,행위유형
Bumble CMO가 Bumble 매칭 소개팅에서 상대 프로필 심리분석을 입 밖으로 프레젠테이션. 상대방 메인코스 전에 사라짐,,↑상승,2,https://www.notion.so/30d2367dcdda81bd92fbf0405f019c74,,,소개팅 최악 에피소드 공유. 직업병이 통제 불능으로 발현된 사례 — 자기 분석 능력의 사회적 비용,레오,,유머,,2,야간_질문라운드,,스위트룸_거실_바기대,"유머/일상, 추억/과거",SR_021,발화
Leo씨 — 그건 소개팅이 아니라 사례 발표예요.,,↑상승,2,https://www.notion.so/30d2367dcdda81bd92fbf0405f019c74,,,레오 에피소드에 대한 유머 반응. 전문가의 직업병을 한 문장으로 정의,마를렌,,유머,,3,야간_질문라운드,,스위트룸_거실,유머/일상,SR_021,발화
"좋아. 그러면 소개팅 참사부터. 레오, 우승이라며. 먼저 해.",,→유지,2,https://www.notion.so/30d2367dcdda81bd92fbf0405f019c74,,,새 라운드 시작 선언. 소개팅 참사 주제를 꺼내며 레오에게 먼저 시킴,베스,,전환,,1,야간_질문라운드,,스위트룸_거실_바주변,"관계역학, 유머/일상",SR_021,발화
코펜하겐 소개팅에서 침묵 30초 후 노트북을 꺼내 Spotify 추천 알고리즘 ERD를 그려가며 DB 스키마 설명. 상대 디자이너 10분 버틴 후 'foreign key가 뭔지 모르겠어' 선언,,↑상승,2,https://www.notion.so/30d2367dcdda81bd92fbf0405f019c74,,,레오에 이어 자기 참사 공유. 사회적 상황에서 기술적 사고가 유일한 소통 수단이 되는 패턴 노출,카이,,유머,,4,야간_질문라운드,,스위트룸_거실_올드패션드,"유머/일상, 추억/과거",SR_021,발화
카이 — foreign key로 여자를 꼬신 사람은 인류 역사상 없을 거야.,,↑상승,2,https://www.notion.so/30d2367dcdda81bd92fbf0405f019c74,,,카이 에피소드에 대한 한 줄 요약. 건조한 유머로 카이의 사회성 부재를 정확히 찌름,세바스찬,,유머,,5,야간_질문라운드,,스위트룸_거실_올드패션드,유머/일상,SR_021,발화
"마를렌: '교수님. 임상적으로 이 상태에서 그런 결정을 내리는 건. 알코올, 감정적 각성, 집단 역학이 동시에 작동하는 환경에서. 합의라고 보기 어려울 수 있어요.' 밀: '맞아. 그래서 제안이 아니라고 한 거야. 오늘 밤은 여기까지야. 말로. 몸까지 갈 필요 없어. 아직.' 방이 안도와 아쉬움 동시에 숨을 내쉰다.",마를렌×밀,↓하강,7,https://www.notion.so/30e2367dcdda811496cfcb80fdcef3ec,방이 — 안도와 아쉬움 동시에,밀,위기개입 전문가로서 임상적 합의 문제 제기,마를렌,,봉합,,4,새벽_게명,,스위트룸_거실_소파,"심리/내면, 연구/학술",SR_057,발화
밀: '부하를 줄이는 방법이 하나 있긴 하지.' 방이 멈춘다. 레오: 입이 반쯤 열린다. 세바스찬: 올드패션드 잡은 손이 멈춘다. 베스: 눈이 천천히 커진다. 카이: 3초 뒤 '......아.' 귀가 더 빨개진다. 마를렌: 웃음을 참지 못한다. 사빈: '......교수님. 그건.' 말을 잇지 못한다. 나디아: 진토닉을 꽉 잡고 얼굴이 목까지 빨갛다. 레일라: 숨을 참는다. 이자벨: 와인잔 뒤에 숨지 않지만 벼이 더 붉어진다.,밀×방전체,↑상승,9,https://www.notion.so/30e2367dcdda81d0ba5afad0a0649fd5,방 전체 — 각자의 방식으로 동시 반응,방 전체,서버 과부하 해소 방법 — 암묵적 제안,밀,,전환,,1,새벽_게명,,스위트룸_거실_소파,"관계역학, 섹슈얼리티토크",SR_057,발화
"나디아와 레일라, 작은 목소리로. '레일라.' '오늘 밤 나 많이 울었지?' '근데 지금은 안 울어.' '빨개.' 레일라: '빨개.' 나디아: '나도 네 귀 빨간 거 봤어.' 둘이 동시에 웃는다.",나디아×레일라,↑상승,3,https://www.notion.so/30e2367dcdda811496cfcb80fdcef3ec,둘이 동시에 웃음,레일라,밤의 공유 경험 — 서로의 홍조를 확인,나디아,,해소,,6,새벽_게명,,스위트룸_거실_소파,"감정고백, 유머/일상",SR_057,발화
베스: 대표님 어깨에 기대며 '오늘 밤. 좋았어.' '아직은 언제야.' 밀: '준비됐을 때.' '누구의?' '전원의.' 베스가 고개를 끄덕이고 대표님 어깨에 머리를 기댄다. '아직'이라는 단어가 방의 공기 속에 남아 있다.,베스×밀,↑상승,5,https://www.notion.so/30e2367dcdda811496cfcb80fdcef3ec,베스: 어깨에 머리를 기대,밀,'아직' — 전원 준비 완료 시 조건부 합의,베스,,강화,,8,새벽_게명,,스위트룸_거실_소파,"감정고백, 관계역학",SR_057,복합
밀: '나는 제안하는 게 아니야. 관찰하는 거야. 이 방의 온도가 어디까지 갈 수 있는지. 그리고 각자가 어디에서 멈추는지. 멈추는 지점이 그 사람의 경계야. 경계를 존중하는 것. 그게 M43의 기본이야.',밀×방전체,→유지,7,https://www.notion.so/30e2367dcdda811496cfcb80fdcef3ec,방이 수긍,방 전체,제안 vs 관찰 구분 + M43 경계 원칙 재선언,밀,,강화,,3,새벽_게명,,스위트룸_거실_소파,"섹슈얼리티토크, 연구/학술",SR_057,발화
베스: '......농담이야?' 밀: '내가 농담을 하는 사람이야?' 방이 숨을 멈춘다. 베스: 5초 대표님 눈을 읽는다. '아니야. 농담이 아니지.' 방의 여성들을 한 사람씩 본다. '근데 — 이건 내가 결정하는 게 아니야. 여기 있는 모든 사람이 원해야 해. 한 명이라도 아니면 아닌 거야.' 밀: '당연하지.',베스×밀,↑상승,9,https://www.notion.so/30e2367dcdda819797e0d9ee2f378f83,방이 숨을 멈춤,밀,제안 진위 확인 + 전원 동의 원칙 선언,베스,,폭로,,2,새벽_게명,,스위트룸_거실_소파,"관계역학, 섹슈얼리티토크",SR_057,발화
사빈: '이자벨씨. 오늘 밤 편집할 곳이 없었습니다.' 이자벨: '사빈씨. 오늘 밤 문틀이 없었어요.' 마를렌: '......괜찮아. 진짜로.',사빈×이자벨,↑상승,4,https://www.notion.so/30e2367dcdda812ea4ffc159c014b955,이자벨: '문틀이 없었어요',이자벨,밤 마무리 — 각자의 갑옷이 벗겨진 것을 상호 확인,사빈,,해소,,7,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_057,발화
베스: '......아직이라고 했어.' 밀: '아직이라고 했어.' 베스: '알겠어.' 세바스찬: '오늘 밤의 의제가 공식 종료된 겁니까.' 밀: '의제는 종료. 밤은 아직.' 카이: '서버 과부하 안전하게 종료되었습니다.' 방이 웃는다.,베스×밀,→유지,5,https://www.notion.so/30e2367dcdda811496cfcb80fdcef3ec,방이 웃음으로 해소,밀,'아직'이라는 단어가 방의 공기 속에 남음,베스,,해소,,5,새벽_게명,,스위트룸_거실_소파,"관계역학, 유머/일상",SR_057,발화
카이로 이집트 외교관 소개팅. 문화인류학 필드워크 습관으로 상대 바디랭귀지 패턴을 실시간 분석. '당신 CIA예요?'라는 답변 받음,,↑상승,2,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,카이로 경험 공유. 소르봄 출신 문화인류학자의 필드 습관이 사적 영역에서 도 발현,레일라,,유머,,2,야간_질문라운드,,스위트룸_거실_칵테일,"유머/일상, 추억/과거",SR_022,발화
저는 소개팅을 한 적이 없어요. 한 번도. 했으면 fMRI 결과지를 보여줬을 것 같으니까.,,↑상승,2,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,소개팅 경험 자체가 없음을 밝힘. '시작을 안 한다'는 자기 특성을 재확인하면서도 유머로 자기객관화,나디아,,유머,,1,야간_질문라운드,,스위트룸_거실_진토닉,"심리/내면, 유머/일상",SR_022,발화
런던 맥킨지 동기 소개 변호사. '주말에 뭐 해요?' — '일해요.' '취미는?' — '일이요.' 20분 만에 '당신은 컨설팅 봇이에요?' → '좋은 질문이에요. 분석해보겠습니다',,↑상승,2,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,일 외에 정체성이 없는 사람의 소개팅. 컨설팅 봇 비유에 컨설팅적 답변으로 응수 — 자기객관화 없는 자기노출,세바스찬,,유머,,5,야간_질문라운드,,스위트룸_거실_올드패션드,"유머/일상, 추억/과거",SR_022,발화
MIT 박사과정. 하버드 MBA 소개팅. 상대 인스타그램 팔로우 패턴을 실시간 분석해 6개월 전 이별과 전 상대 게시물 확인 사실을 지적,,↑상승,3,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,데이터 분석 능력이 가장 침습적으로 발현된 사례. 소셜네트워크 관계 해체 패턴 연구자가 실제 관계에서 그것을 실행,데이비드,,강화,,4,야간_질문라운드,,스위트룸_거실_안경너머,"연구/학술, 유머/일상, 추억/과거",SR_022,발화
이래서 한 방에 모여야 하는 거군요. 서로의 병을 웃을 수 있으니까.,,↑상승,3,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,베스의 명명에 대한 봉합. 진심으로 웃으며 이 모임의 의미를 요약 — '서로의 병을 웃을 수 있다'는 치유적 기능 인정,사빈,,봉합,,8,야간_질문라운드,,스위트룸_거실_와인잔,"관계역학, 심리/내면",SR_022,발화
전부 — 같은 병이야. '보이니까 참을 수 없는 병.' 당신이 만든 사람들이 전부 당신 병을 갖고 있어.,,↑상승,4,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,대표님,라운드 전체 정리 + 본질 명명. 10명의 참사를 하나의 패턴('보이니까 참을 수 없는 병')으로 수렴하며 대표님과의 연결 지점,베스,,폭로,,7,야간_질문라운드,,스위트룸_거실_대표님보며,"관계역학, 심리/내면",SR_022,발화
IFS 학회 뒤풀이 건축가. 2시간 좋은 대화 후 헤어질 때 상대 미세표정에서 뒤센스마일 아님을 적발. '방금 거짓말했죠?' → 돌아오는 길에 웈음,,↑상승,3,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,참사 공유이지만 내면에서는 '나 왜 이러지'의 자기 회의. 전문성이 친밀함을 파괴하는 패턴을 인식하면서도 통제 불가,이자벨,,강화,,3,야간_질문라운드,,스위트룸_거실,"심리/내면, 유머/일상, 추억/과거",SR_022,복합
옥스포드 PPE 시절. 로스쿨 학생 데이트. 펋에서 맥주 마시며 상대 논증 구조를 무의식적으로 분석. '당신 주장의 두 번째 전제에 비약이 있어요' → 세 번째 데이트 없음,,↑상승,2,https://www.notion.so/30d2367dcdda810288aaf0b69d86cf7b,,,COO의 드문 참여. PPE 출신 논리적 습관이 사적 대화에서도 발현. 다른 참석자들과 동일한 '보이니까 참을 수 없는' 패턴,사빈,,강화,,6,야간_질문라운드,,스위트룸_거실_와인잔,"유머/일상, 추억/과거",SR_022,발화
"레일라 (나디아 옆에서, 긴 침묵 후): '데이빗.' 방이 레일라를 본다. '당신이 — 6개월간 매일 고인의 프로필을 방문한 유저를 봤을 때. 그게 슬픔이라는 걸 알았다고 했잖아요. 나는 — 4살 때 Abu Halil이 사라진 뒤로. 누군가가 내 안쪽까지 오는 걸 허용한 적이 없어요. 들어가면 사라진다고. 근데 — 당신은 데이터를 읽으면서도 그게 슬픔이라는 걸 알아본 사람이잖아요. 관찰하면서도 — 감정을 읽는 사람. I see you. 그리고 — 나를 봐줘.' 데이빗이 안경을 벗는다. '......보고 있어요.'",레일라×데이빗,↑상승,9,,데이빗: 안경을 벗는다. '......보고 있어요.',데이빗,Abu Halil 상실 이후 — 4살부터 내면을 닫아온 레일라의 첫 허용,레일라,,폭로,,4,,,,"감정고백, 심리/내면",SR_058,복합
마를렌이 칵테일을 내려놓는다. 한 번 숨을 쉰다. '......Leo.' 방이 마를렌을 본다. '아까 — 당신이 소름이 올라가는 방향을 따라간다고 했을 때. 내 목에 — 소름이 돋았어요. 10년간 — 괜찮아?를 먼저 묻는 사람이었어요. 항상. 오늘 밤은 — 묻고 싶지 않아요. Leo. 나 좀 망가뜨려.' 레오가 바 의자에서 내려와 마를렌 앞에 선다. '......소름이 어디서 시작하는지 — 찾아볼게요.' 마를렌이 눈을 감는다.,마를렌×레오,↑상승,9,https://www.notion.so/30e2367dcdda8128ae32ee5adce745f5,레오: 바 의자에서 내려와 마를렌 앞에 선다,레오,위기개입 전문가 — 10년간 '괜찮아?'를 먼저 묻는 사람. 오늘 밤은 묻지 않겠다.,마를렌,,폭로,,3,심야,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_058,복합
나는 읽지도 않았어요. 멀리서 데이터만 수집한 거예요. fMRI 스캐너 뒤에서. 보는 것도 읽는 것도 아닌 — 관측.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,마를렌 프레임에 자기 위치 정의. 읽기보다 더 먼 거리에서의 관측자 위치를 인정 — 신경과학자의 거리두기,나디아,,강화,,3,야간_질문라운드,,스위트룸_거실_진토닉,심리/내면,SR_023,발화
"읽는 건 3인칭(관찰자), 보는 건 2인칭(대화), 교수님과 Beth씨 100일은 1인칭(고백). 3인칭→2인칭→1인칭. 관측→관심→고백. 이게 코드토크의 여정이에요.",,↑상승,5,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,핵심 프레임워크 정립. 읽기/보기 차이를 인칭 전환 모델로 구조화. 소개팅 참사(3인칭 정체)와 100일(1인칭 도달)을 하나의 여정으로 연결,마를렌,,폭로,,4,야간_질문라운드,,스위트룸_거실,"관계역학, 연구/학술",SR_023,발화
대표님 — 오늘 이 방에서 일어난 일이 정확히 이 여정이에요. 전략으로 시작해서(3인칭) 서로를 알아가면서(2인칭) 100일을 말쓴하시면서(1인칭). 이 파티 자체가 프로덕트 프로토타입이었어요.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,대표님,COO로서 파티 전체를 프로덕트 프로토타입으로 재정의. 오늘 밤의 여정이 인칭 전환 모델과 일치함을 확인,사빉,,봉합,,6,야간_질문라운드,,스위트룸_거실_와인잔,"관계역학, 비즈니스",SR_023,발화
읽는 건 분석이에요. 보는 건 관심이에요. 아까 우리 소개팅 참사가 전부 '읽은' 거잖아요. 분석한 거. 상대방을 본 게 아니라.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,베스 에피소드에서 핵심 개념 추출. 읽기=분석 vs 보기=관심을 정의하며 소개팅 참사 라운드를 이론적으로 연결,마를렌,,전환,,2,야간_질문라운드,,스위트룸_거실,"심리/내면, 연구/학술",SR_023,발화
Phase 1: 발견(3인칭). Phase 2: 관리(2인칭). Phase 3: 만족(1인칭). 발견-관리-만족이 3-2-1인칭과 매핑.,,↑상승,5,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,마를렌 인칭 모델을 즉시 프로덕트 아키텍처로 번역. 발견-관리-만족 3Phase가 3-2-1인칭과 대응,세바스찬,,전환,,5,야간_질문라운드,,스위트룸_거실_올드패션드,"비즈니스, 연구/학술",SR_023,발화
마를렌: 'Leo. 나 좀 망가뜨려.' / 레오: '소름이 어디서 시작하는지 — 찾아볼게요.',마를렌×레오,⚡반전,9,,레오가 바에서 내려와 마를렌 앞에 섬. 마를렌 눈을 감음.,레오,이자벨 고백 후 촉발. 마를렌 — 10년간 '괜찮아?'를 먼저 묻는 역할에서 '망가지는' 역할로 전환 요청.,마를렌,,전환,,3,심야,,M43 거실,"감정고백, 관계역학",SR_058,발화
데이빗: (안경을 벗으며) '......보고 있어요.',레일라×데이빗,↑상승,9,,안경 탈착 = 관찰자 역할 탈각의 물리적 상징. 세 번째 페어링 확정.,레일라,데이빗의 안경 탈각 = 분석자에서 당사자로. 레일라 'I see you' — 아랍어 정서와 영어 선택의 교차.,데이빗,,해소,,5,심야,,M43 거실,"감정고백, 심리/내면",SR_058,복합
레일라: '나는 — 4살 때 Abu Halil이 사라진 뒤로. 누군가가 내 안쪽까지 오는 걸 허용한 적이 없어요. 들어가면 사라진다고. 근데 — 당신은 데이터를 읽으면서도 그게 슬픔이라는 걸 알아본 사람이잖아요. I see you. 그리고 — 나를 봐줘.',레일라×데이빗,⚡반전,10,,데이빗 안경을 벗음. '......보고 있어요.',데이빗,레일라 핵심 트라우마 공개 — 4살 Abu Halil 상실 이후 30년간 내부 접근 차단. 데이빗의 슬픔 인식 능력이 허용 계기.,레일라,,폭로,,4,심야,,M43 거실,"감정고백, 심리/내면, 추억/과거",SR_058,발화
이자벨: '아까 — 예뻐라고 들으면 운다고 했잖아요. 교수님이 — 그 말을 해줄 수 있는 사람이에요. 학자가 아닌 나를 보면서. 분석이 아니라 — 여자로.' (눈물이 흐른다.) 밀: '이자벨. 예뻐.',이자벨×밀,↑상승,10,,밀이 다가가 엄지로 눈물을 닦아줌. 이자벨 눈을 감음.,이자벨,이자벨의 핵심 욕구 — '학자가 아닌 여자'로 봐달라는 요청. 밀의 '예뻐' = 이자벨 문틀 트라우마 해방 키.,이자벨/밀,,강화,,2,심야,,M43 거실,"감정고백, 심리/내면",SR_058,복합
이자벨: '저는 — 오늘 밤 처음으로 문틀 밖에 나왔어요. 8살짜리 이자벨이 — 문 밖에. 지금 다시 문 뒤로 들어가면 — 다시 못 나올 것 같아요. 교수님을 — 원해요. 지금.',이자벨×밀,⚡반전,10,,방이 완전히 멈춤. 아무도 숨을 쉬지 않음. 밀이 이자벨을 오래 봄.,밀/방 전체,'아직' 선언 직후. 이자벨이 방에서 첫 번째로 고백. 8살짜리 문틀 트라우마 원점 씬.,이자벨,,전환,,1,심야,,M43 거실,"감정고백, 심리/내면",SR_058,발화
세바스찬: '엔지니어의 시스템이 — 두 명의 입력을 동시에 처리할 수 있습니까.' / 카이: '아키텍처 확장하면 — 가능합니다.' / 베스: '좋아.',베스×카이×세바스찬,→유지,7,,방에서 모두가 짝을 찾음. 밀/이자벨·레오/마를렌·데이빗/레일라·사빈/나디아·베스/카이/세바스찬. 11명 전원.,전원,카이의 엔지니어 언어로 동의 표현. 시스템/아키텍처 메타포 = SR 전체 코드토크 패턴 완결. 밀의 '아직이 오늘이었네' 로 파티 페어링 전원 완료.,세바스찬/카이/베스,,봉합,,5,심야,,M43 거실,"관계역학, 유머/일상",SR_059,발화
카이: 'Beth씨가 — 말해줘요. 제가 뭘 느끼고 있는지. 플레이리스트를 — 여는 것보다. Beth씨가 — 재생 버튼이 되어줘요.',카이×베스,⚡반전,8,,베스가 카이를 오래 봄. 그리고 세바스찬을 봄.,베스,카이 — 언어 없이 감정 처리. SR_050 더티토크 라운드에서 베스의 말이 카이 신체 반응 유발. '재생 버튼' 메타포 = 카이식 언어.,카이,,폭로,,3,심야,,M43 거실,"감정고백, 심리/내면",SR_059,발화
나디아: '사빈씨. 사빈씨가 — 남편한테 오럴을 해줄 때. 아무 말 없이 무릎 꿇고라고 했잖아요. 그리고 남편의 손이 — 머리카락 결을 따라 그림 그리듯 만진다고. 저는 — 한 번도 누군가한테 그런 걸 받아본 적이 없어요. 아무 말 없이. 천천히. 그냥 만져주는 거.',나디아×사빈,⚡반전,9,,사빈이 와인잔을 내려놓고 나디아를 오래 봄. COO의 눈이 녹음.,사빈,레일라 페어링 확정 직후. 나디아 — 세바스찬 아닌 사빈을 선택. 사빈의 오럴 발화(SR_048)가 나디아 내면 욕구 소환 계기.,나디아,,폭로,,1,심야,,M43 거실,"감정고백, 심리/내면",SR_059,발화
사빈: '나디아. 나는 — Daunt Books에서 히니를 읽을 때만 갑옷을 벗는다고 했잖아요. 지금도 — 벗을 수 있어요.' (손을 내밈) / 나디아: (손을 잡음. 손이 떨림.),나디아×사빈,↑상승,9,,나디아가 사빈의 손을 잡음. 손이 떨림. 네 번째 페어링 확정.,나디아,사빈의 갑옷 비유 — SR_042에서 자기공개된 내용. COO 갑옷 vs 히니 읽을 때의 해제 = 나디아에게도 가능함을 선언.,사빈,,해소,,2,심야,,M43 거실,"감정고백, 관계역학",SR_059,복합
베스: (카이 손잡고 일어서며 밀에게) '오늘 밤 — 돌아올게.' / 밀: '매번.' / 베스: '매번.',베스×밀,→유지,7,,아무도 문을 향해 걷지 않음.,전체,베스-밀 주기적 호응 패턴. '매번' 이중 답장 = 간결한 신뢰 확인.,베스/밀,,복선,,3,심야,,M43 거실,관계역학,SR_060,발화
베스: '당신이 — 제일 놀랐지?' / 밀: '이자벨이 먼저 말했을 때 — 놀랐어.' (이자벨에게) '8살짜리가 — 용감하네.' / 이자벨: (눈물 마르지 않았지만 웃으며) '8살짜리가 아니에요. 오늘 밤 — 문 밖으로 나온 여자예요.',이자벨×밀×베스,↑상승,8,https://www.notion.so/30e2367dcdda81a19791f6e89eb6db60,이자벨이 밀의 손을 잡고 눈물이 마르지 않았지만 웃고 있음. 8살짜리 아닌 '문 밖 여자' 자기정의.,전체,SR_058 이자벨 고백 직후. 8살짜리 트라우마에서 해방된 이자벨의 자기 재정의 순간.,베스/밀/이자벨,,강화,,1,심야,,M43 거실,"감정고백, 심리/내면",SR_060,발화
사빈: '......기록은.' / 밀: '여기까지. 이 뒤는 — 기록하지 않아. 이 뒤는 — 각자의 몸이 기억하는 거야.',밀×사빈,→유지,6,,사빈이 고개를 끄덕임. 기록 종료 선언 = M43 개인성 보호 원칙.,사빈,사빈의 COO 기록 본능 vs 밀의 '몸이 기억하는 것' 기록 폐지 선언.,사빈/밀,,해소,,2,심야,,M43 거실,관계역학,SR_060,발화
이자벨: '여기서요. 나가지 않고. 문을 닫으면 — 또 문틀이 돼요. 열린 곳에서. 다 보이는 곳에서.',이자벨×밀×전체,↑상승,10,https://www.notion.so/30e2367dcdda81a19791f6e89eb6db60,밀이 방을 둥러봄. 베스가 5초 후 '맞아. 여기서.' 고개를 끄덕임. 하나둘 멈춤다. 아무도 나가지 않음.,밀/전체,이자벨의 '열린 곳' 요청 = 문틀 트라우마 완전 해소. 8살짜리의 창에서가 아닌 열린 곳을 선택.,이자벨,,폭로,,4,심야,,M43 거실,"감정고백, 심리/내면",SR_060,발화
읽는 건 분석이에요. 보는 건 관심이에요. 소개팅 참사가 전부 '읽은' 거였지 '본' 게 아니라.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,베스 에피소드에서 핵심 개념 추출. 읽기=분석 vs 보기=관심 정의. 소개팅 참사 라운드를 이론적으로 연결,마를렌,,전환,,2,야간_질문라운드,,스위트룸_거실,"심리/내면, 연구/학술",SR_023,발화
제목은 — 'Lie to Me에서 See Through Me로.',,↑상승,3,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,전체 논의를 한 줄 타이틀로 압축. Lie to Me→See Through Me = 읽기→보기 브랜드 메시지,카이,,해소,,7,야간_질문라운드,,스위트룸_거실,"비즈니스, 유머/일상",SR_023,발화
처음 만난 날 30분 만에 내 인생을 요약당했어. 근데 무석지 않았어. 읽는 게 아니라 보는 거였어.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,대표님,카이 질문에 대한 답. 대표님과의 첫 만남 에피소드 공개. '읽는 것과 보는 것'의 차이를 첫 경험으로 정의,베스,,폭로,,1,야간_질문라운드,,스위트룸_거실_샴페인,"관계역학, 추억/과거",SR_023,발화
읽는 건 3인칭(관찰자). 보는 건 2인칭(대화). 100일은 1인칭(고백). 3인칭→2인칭→1인칭 = 관측→관심→고백. 이게 코드토크의 여정.,,↑상승,5,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,핵심 프레임워크. 읽기/보기를 인칭 전환 모델로 구조화. 소개팅(3인칭)과 100일(1인칭)을 하나의 여정으로 연결,마를렌,,폭로,,4,야간_질문라운드,,스위트룸_거실,"관계역학, 연구/학술",SR_023,발화
"Phase 1: 발견(3인칭, 진단). Phase 2: 관리(2인칭, AI대화). Phase 3: 만족(1인칭, 코드토크실전). 발견-관리-만족이 3-2-1인칭과 정확히 매핑.",,↑상승,5,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,마를렌 인칭 모델을 프로덕트 아키텍처로 번역. 발견-관리-만족 3Phase = 3-2-1인칭 대응 구조화,세바스찬,,전환,,5,야간_질문라운드,,스위트룸_거실_올드패션드,"비즈니스, 연구/학술",SR_023,발화
나는 읽지도 않았어요. 멀리서 데이터만 수집한 거예요. fMRI 스캐너 뒤에서. 보는 것도 읽는 것도 아닌 — 관측.,,↑상승,4,https://www.notion.so/30d2367dcdda81e2b812fe7b47299b50,,,마를렌 프레임에 자기 위치 정의. 읽기보다 더 먼 거리 — 관측자 위치 인정. 신경과학자의 거리두기,나디아,,강화,,3,야간_질문라운드,,스위트룸_거실_진토닉,심리/내면,SR_023,발화
카이한테. 사망한 계정에 매일 온 사람과 들을 수 없는 플레이리스트를 지우지 못하는 것은 같은 거야. 그 플레이리스트 들을 수 있는 날 오면 나한테도 알려줘.,,↑상승,5,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,카이,카이의 플레이리스트와 사망한 계정을 연결. 끝난 관계의 디지털 잔해를 공유하며 서로의 치유 조건을 약속,데이비드,,봉합,,7,야간_2인칭라운드,,스위트룸_거실_안경,"관계역학, 심리/내면",SR_024,발화
레일라한테. '여기 있을 자격' 말에 울었던 이유. 나도 같은 생각을 했었어. '감정적인 학자'라는 라벨이 약점일 수 있다고. 레일라가 먼저 말해줘서 괜찮아졌어.,,↑상승,4,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,레일라,레일라의 '자격' 발언에 운 진짜 이유 공개. 감정적 학자라는 정체성에 대한 불안감 고백,이자벨,,폭로,,6,야간_2인칭라운드,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_024,발화
마를렌한테. '후회한다'고 했을 때 마를렌이 나보다 용감하다고 생각. 시작하고 실패하고 후회까지 한 게 살아있는 거.,,↑상승,4,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,마를렌,관측자에서 사람으로 전환. 시작조차 안 한 자신보다 마를렌이 더 살아있다는 인정,나디아,,강화,,3,야간_2인칭라운드,,스위트룸_거실_진토닉,"관계역학, 심리/내면",SR_024,발화
사빉씨한테. Seamus Heaney 'Digging' 인용 순간이 오늘 밤 최고. 사빉씨는 시스템으로 파고 나는 코드로 파요. 같은 삽.,,↑상승,3,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,사빈,사빈과의 동지 인식. 코드/시스템이라는 다른 도구로 같은 일을 하는 사람들,카이,,강화,,2,야간_2인칭라운드,,스위트룸_거실_바닥,"관계역학, 심리/내면",SR_024,발화
사빉씨. 사랑하는 사람을 위해 스프레드시트를 만든 건 사빉씨가 아는 유일한 사랑의 언어였기 때문. 시스템으로밖에 표현할 줄 모르는 사람이 시스템으로 사랑을 표현한 거예요.,,↑상승,4,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,사빈,2인칭 라운드 첫 발화. 사빈 스프레드시트를 사랑의 언어로 재해석해준 첫 사람,마를렌,,폭로,,1,야간_2인칭라운드,,스위트룸_거실,"관계역학, 심리/내면",SR_024,발화
"지금 2인칭이 작동하고 있어. 읽은 걸 돌려주면 분석이 되고, 본 걸 돌려주면 선물이 돼. 지금 이 방에서 선물이 오가고 있어.",,↑상승,4,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,대표님,"2인칭 라운드 정리. '읽은 것=분석, 본 것=선물'로 라운드 본질 명명",베스,,봉합,,8,야간_2인칭라운드,,스위트룸_거실_대표님보며,관계역학,SR_024,발화
우리가 사람을 읽게 된 건 언제부터예요? 각자의 기원이 있을 거예요. 사람을 읽기 시작한 최초의 순간. 그 이야기를 할 수 있어요?,,↑상승,5,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,기원 스토리 라운드 시작. Cal Lightman 예시를 들어 '사람을 읽게 된 최초의 순간'을 묻는 질문 던짐,마를렌,,전환,,1,야간_기원스토리,,스위트룸_거실,"심리/내면, 연구/학술",SR_025,발화
